Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003]
Indonesia,IDN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,24849000000,29295000000,32457000000,37187000000,40566000000,45020000000,52923000000,56787000000,63239000000,54849971800,55840471034.8021,70621521117.0085,62865023700,65828023965,69402126374.14
Indonesia,IDN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,21749000000,27511000000,31398000000,34874000000,38222000000,43738000000,54461000000,59379000000,62830000000,44030357373.1649,42974513498.0652,56002463130.4348,50548622608.6957,52696753632.6136,56946585709.9852
Indonesia,IDN,Total reserves minus gold (current US$),FI.RES.XGLD.CD,5453531101.00665,7459057855.20195,9257939411.23461,10448611002.7913,11262656751.5158,12132678563.0136,13708247115.922,18251104717.3555,16586889411.8885,22713375176.531,26445032417.3645,28501860111.4768,27246209680.3382,30970717497.4441,34962311391.5962
Indonesia,IDN,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,24.78,23.15,..,..,16.74,..,14.01,10.76,20.57,7.93,9.86,8.02,6.13,6.28,5.74
Indonesia,IDN,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,3.3190815372586,2.0033945020762,1.36959954149003,6.89402597280129,1.41916575469465,0.555938090681195,4.37501686552433,3.13903809021068,1.00285455464397,-1.33151537337781,2.16288447419191,1.88281042006406,3.25598448571571,3.44899203350946,3.78812115968836
Indonesia,IDN,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,9.20345611015259,12.4961597916716,9.60160093898369,10.1382262589299,9.34889999914262,12.3615516279472,10.8750257112745,11.5920298648553,5.25133557225421,-11.4365086968978,3.92137608810789,5.98474638685624,3.30030324502577,5.28816003040259,5.33327388288861
Indonesia,IDN,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,9.31270814904452,7.59584094748602,5.8217373627451,7.20975929819274,8.00232046603368,7.09017210475918,7.60574543808508,6.753733610331,5.58365109414918,-16.4615293263568,-1.03061718281967,5.17440436993977,4.88631448132517,5.19568842552864,6.35808315110316
Indonesia,IDN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-682000000,-1093000000,-1482000000,-1777000000,-1648000000,-1500000000,-3743000000,-5594000000,-4499000000,240800000,1865620963.49087,4550355285.71428,2977391857.14286,-145085548.722222,596923827.786241
Indonesia,IDN,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,3100000000,1784000000,1059000000,2313000000,2344000000,1282000000,-1538000000,-2592000000,409000000,10819614426.8351,12865957536.7369,14619057986.5738,12316401091.3043,13131270332.3864,12455540664.1548
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.78688524590163,7.22433460076046,6.77581743971632,6.49750651873819,6.49640811847792,7.53997109564237,8.22000739947582,7.81818707715229,4.6998788540334,-13.126725493152,0.791126082561647,4.92006774777576,3.64346644786215,4.49947538889633,4.78036912376109
China,CHN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,47823000000,57374000000,65898000000,78817000000,86852000000,119181000000,147239990000,171678000000,140533000000,141364000000,149884000000,190039384000,208572000000,247626456545.448,445976206260.613
China,CHN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,52750000000,46706000000,54297000000,73819000000,98349000000,111570000000,135282400000,154127000000,97709000000,97527000000,119243000000,161165850000,180488000000,210243368881.429,410155077194.32
China,CHN,Total reserves minus gold (current US$),FI.RES.XGLD.CD,17959866323.2318,29586161158.6121,43674299103.1198,20620361915.1072,22386849243.5518,52914062884.3961,75376702869.5104,107039425039.4,142762467746.157,149187895723.126,157727874491.999,168277583225.843,215605127617.14,291127828205.212,408150659048.593
China,CHN,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,..,..,..,39.71,37.1,33.32,..,22.02,16.66,17.08,16.34,16.4,15.39,12.15,10.69
China,CHN,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,3.074999732142,7.32773213835434,2.35353019392093,4.65100301883832,4.64917941059286,3.94554573547386,4.9426425383196,5.03989389977062,3.43664044543479,3.43299456648786,2.73137330210611,2.32851803699535,2.6380712380831,2.69994655178539,2.3720563695443
China,CHN,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
